occurrence_id,paper_key,title,year,object_name,alternate_object_names,ra_deg,dec_deg,classification,candidate_quality,population_tier,primary_flag,region,table_role,source_url,retrieval_status,notes,input_dataset
OCC-04675,mas2026,Exploring the Variability of Young Stars with Gaia DR3 Light Curves,2026,Gaia DR3 3005446658646767744,,90.5846856900,-9.1075389500,QPD,true,automated_yso_dipper_allsky,yes,all sky,VizieR tabled1 complete,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A%2BA/705/A172,complete,Primary=true is the recommended high-quality subset; secondary QPDs have substantial contamination risk,yso_survey_candidate_coordinates
OCC-04676,mas2026,Exploring the Variability of Young Stars with Gaia DR3 Light Curves,2026,Gaia DR3 3005340869308494592,,90.6196828200,-9.7170128400,QPD,true,automated_yso_dipper_allsky,yes,all sky,VizieR tabled1 complete,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A%2BA/705/A172,complete,Primary=true is the recommended high-quality subset; secondary QPDs have substantial contamination risk,yso_survey_candidate_coordinates
OCC-04677,mas2026,Exploring the Variability of Young Stars with Gaia DR3 Light Curves,2026,Gaia DR3 3005313342861505024,,90.6455650100,-10.0648779900,QPD,false,automated_yso_dipper_allsky,no,all sky,VizieR tabled1 complete,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A%2BA/705/A172,complete,Primary=true is the recommended high-quality subset; secondary QPDs have substantial contamination risk,yso_survey_candidate_coordinates
OCC-04678,mas2026,Exploring the Variability of Young Stars with Gaia DR3 Light Curves,2026,Gaia DR3 3122542383558786816,,90.6801071100,0.5491608700,QPD,false,automated_yso_dipper_allsky,no,all sky,VizieR tabled1 complete,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A%2BA/705/A172,complete,Primary=true is the recommended high-quality subset; secondary QPDs have substantial contamination risk,yso_survey_candidate_coordinates
OCC-04679,mas2026,Exploring the Variability of Young Stars with Gaia DR3 Light Curves,2026,Gaia DR3 3005341797021422336,,90.6878205300,-9.6914695100,QPD,true,automated_yso_dipper_allsky,yes,all sky,VizieR tabled1 complete,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A%2BA/705/A172,complete,Primary=true is the recommended high-quality subset; secondary QPDs have substantial contamination risk,yso_survey_candidate_coordinates
OCC-04680,mas2026,Exploring the Variability of Young Stars with Gaia DR3 Light Curves,2026,Gaia DR3 3005335165592100480,,90.7139711200,-9.8458419100,QPD,true,automated_yso_dipper_allsky,yes,all sky,VizieR tabled1 complete,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A%2BA/705/A172,complete,Primary=true is the recommended high-quality subset; secondary QPDs have substantial contamination risk,yso_survey_candidate_coordinates
OCC-04681,mas2026,Exploring the Variability of Young Stars with Gaia DR3 Light Curves,2026,Gaia DR3 3005343102691465216,,90.7201789600,-9.6427322000,QPD,true,automated_yso_dipper_allsky,yes,all sky,VizieR tabled1 complete,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A%2BA/705/A172,complete,Primary=true is the recommended high-quality subset; secondary QPDs have substantial contamination risk,yso_survey_candidate_coordinates
OCC-04682,mas2026,Exploring the Variability of Young Stars with Gaia DR3 Light Curves,2026,Gaia DR3 3005337669556952704,,90.8396252900,-9.7447522600,QPD,true,automated_yso_dipper_allsky,yes,all sky,VizieR tabled1 complete,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A%2BA/705/A172,complete,Primary=true is the recommended high-quality subset; secondary QPDs have substantial contamination risk,yso_survey_candidate_coordinates
OCC-04683,mas2026,Exploring the Variability of Young Stars with Gaia DR3 Light Curves,2026,Gaia DR3 3005349523666725888,,90.9189049300,-9.7194674900,QPD,true,automated_yso_dipper_allsky,yes,all sky,VizieR tabled1 complete,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A%2BA/705/A172,complete,Primary=true is the recommended high-quality subset; secondary QPDs have substantial contamination risk,yso_survey_candidate_coordinates
OCC-04684,mas2026,Exploring the Variability of Young Stars with Gaia DR3 Light Curves,2026,Gaia DR3 2993786337834422016,,91.2377182500,-15.4845099400,QPD,false,automated_yso_dipper_allsky,no,all sky,VizieR tabled1 complete,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A%2BA/705/A172,complete,Primary=true is the recommended high-quality subset; secondary QPDs have substantial contamination risk,yso_survey_candidate_coordinates
