source,source_key,tde_id,name,aliases,ra_deg,dec_deg,redshift,discovery_mjd,peak_mjd_ref,discovery_survey,class_label,confidence,host_name,log_mbh,notes,mag_value,mag_band,mag_basis,include_flag
otter,6575972,at2019vcb,AT 2019vcb,AT 2019vcb;ATLAS19bcyz;Gaia19feb;ZTF19acspeuw,189.734925821,33.165893097,0.088,58802.551620370374,58828.550995370344,optical,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575978,swiftj2058_4_0516,Swift J2058.4+0516,Swift J2058.4+0516;Swift J2058+05;Sw J2058+05,314.5829166666666,5.225555555555555,1.1853,55708.0,,xray,tde,secure,Swift J205819.7+051329,,source=OTTER; TDE; mag_basis=OTTER optical photometry (2012ApJ...753...77C); mag_value=22.400; mag_band=g',22.4,g',OTTER optical photometry (2012ApJ...753...77C),False
otter,6575982,at2021crk,AT 2021crk,AT 2021crk;ATLAS21hdc;ZTF21aakfqwq;PS21cpw,176.2787808,18.5403678,0.155,59252.48956019676,59273.99999999998,optical,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575984,at2022pna,AT 2022pna,AT 2022pna;ZTF22aavvqyh;ATLAS22wax;Gaia22dgl,25.48146,-3.289589,0.095,59784.5985,59795.95833333334,optical,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575988,at2021ehb,AT 2021ehb,AT 2021ehb;ATLAS21jdy;ZTF21aanxhjv,46.9492777,40.3112356,0.017,59274.143090300924,59310.95833333334,optical,tde,secure,WISEA J030747.82+401840.9,,source=OTTER; TDE; mag_basis=OTTER optical photometry (2023ApJS..266....9A); mag_value=17.421; mag_band=ztf.r,17.421,ztf.r,OTTER optical photometry (2023ApJS..266....9A),True
otter,6575990,at2022wtn,AT 2022wtn,AT 2022wtn;ATLAS22bikj;ZTF22abkfhua;PS22jwq,350.849102,10.685503,0.0491,59854.255,59881.958333333336,optical,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575992,at2020yue,AT 2020yue,AT 2020yue;ZTF20acnznms,165.0014032,21.1127647,0.204,59156.49736,59195.99999999998,optical,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575994,at2021axu,AT 2021axu,AT 2021axu;ZTF21aaaokyp;ATLAS21bsh;PS21csc,176.6515352,30.0854544,0.19,59231.512,59248.00000000002,optical,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575996,at2018fyk,AT 2018fyk,AT 2018fyk;Gaia18cyc;ASASSN-18ul,342.567048071,-44.8648617073,0.059,58369.0,58317.53833333329,optical,tde,secure,LCRS B224721.6-450748,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6576000,ptf09ge,PTF09ge,PTF09ge;K0905-001,224.26291666666665,49.611333333333334,0.064,54958.0,54992.41749999999,optical,tde,secure,SDSS J145703.17+493640.9,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
