event,field,program,star_id,classification,ef_classification,al_classification,ra,dec,ra_deg,dec_deg,t_0,t_eff,t_e,u_0,isource,ibase,icat,ctype,a_i,ogle_moa,related_event,extra_type
KMT-2024-BLG-2408,BLG20N0401,,030641,,clear,clear,17:48:41.20,-23:30:51.26,267.1716666667,-23.5142388889,60571.55024,,34.5,0.092,20.01,20.0,20.36,2.0,2.02,,OB241292,
KMT-2024-BLG-2409,BLG20T0402,,022863,,clear,clear,17:44:11.96,-23:23:18.89,266.0498333333,-23.3885805556,60555.79211,,25.77,0.297,20.78,19.38,19.38,1.0,1.77,,,
KMT-2024-BLG-2410,BLG22T0504,,024237,,clear,clear,17:51:37.98,-33:51:38.45,267.90825,-33.8606805556,60555.51436,,199.86,0.008,23.22,19.05,19.05,3.0,1.68,,,
KMT-2024-BLG-2411,SSO22T0604,,016903,,clear,clear,17:50:39.00,-33:55:33.28,267.6625,-33.9259111111,60554.90207,,11.05,0.23,18.91,19.2,19.2,2.0,1.75,,,
KMT-2024-BLG-2412,BLG31M0105,,052573,,clear,clear,18:18:00.07,-25:12:32.62,274.5002916667,-25.2090611111,60559.35638,,12.52,0.44,19.76,20.0,20.35,1.0,0.88,,,
KMT-2024-BLG-2413,SSO31T0607,,019752,,clear,clear,18:10:34.73,-26:07:19.81,272.6447083333,-26.1221694444,60557.83729,,10.98,0.386,18.85,18.65,18.65,1.0,1.35,,,
KMT-2024-BLG-2414,SSO32T0702,,001208,,X,probable,18:07:24.27,-28:52:10.49,271.851125,-28.8695805556,60542.79593,,3.06,0.891,19.01,15.21,15.21,1.0,0.9,,,
KMT-2024-BLG-2415,SAO32T0801,,025309,,clear,clear,18:07:04.48,-28:59:08.20,271.7686666667,-28.9856111111,60556.39052,,18.23,0.613,19.39,18.69,18.69,1.0,0.81,,,
KMT-2024-BLG-2416,BLG33M0408,,060401,,X,probable,18:15:58.77,-29:02:57.30,273.994875,-29.04925,60560.21217,,55.26,0.678,20.33,20.0,20.77,1.0,0.46,,,
KMT-2024-BLG-2417,BLG33T0606,,007474,,clear,clear,18:10:03.08,-30:23:20.51,272.5128333333,-30.3890305556,60561.92793,,12.28,0.999,19.11,17.99,17.99,1.0,0.75,,,
KMT-2024-BLG-2418,BLG37M0502,,038728,,clear,clear,17:47:07.24,-35:04:37.60,266.7801666667,-35.0771111111,60552.2521,,17.98,0.08,19.68,19.46,19.46,1.0,0.94,,,
KMT-2024-BLG-2419,BLG41K0403,,008468,,clear,clear,17:51:52.65,-30:50:45.82,267.969375,-30.8460611111,60577.31691,,49.12,0.431,19.49,17.71,17.71,1.0,2.28,,OB241255,
KMT-2024-BLG-2420,BLG41T0506,,043460,,X,clear,17:51:30.82,-31:36:38.56,267.8784166667,-31.6107111111,60553.56681,,164.42,0.002,25.54,20.0,21.72,2.0,3.49,,,
KMT-2024-BLG-2421,SSO42K0305,,063617,,clear,clear,17:52:34.07,-28:30:52.96,268.1419583333,-28.5147111111,60554.95572,,72.85,0.027,23.55,20.0,21.69,2.0,3.59,,,
