event,field,star_no,ra_j2000,ra_deg,dec_j2000,dec_deg,tmax_hjd,tmax_ut,tau,umin,amax,dmag,fbl,ibl,i0
2023-BLG-0685,BLG551.22,1070,18:23:50.84,275.96183333,-23:39:06.5,-23.65180556,2460159.997,2023-08-03.50,44.569,0.438,2.442,0.874,0.857,16.131,16.299
2023-BLG-0686,BLG556.07,21241,18:23:01.32,275.7555,-30:19:17.4,-30.3215,2460106.029,2023-06-10.53,74.769,0.091,10.987,1.254,0.218,18.916,20.573
2023-BLG-0687,BLG612.03,92736,17:30:25.89,262.607875,-28:35:08.2,-28.58561111,2460114.362,2023-06-18.86,91.333,0.112,8.951,1.268,0.279,20.048,21.436
2023-BLG-0688,BLG641.25,36776,17:53:13.26,268.30525,-20:43:48.8,-20.73022222,2460100.458,2023-06-04.96,5.052,0.223,4.570,1.650,1.0,18.175,18.175
2023-BLG-0689,BLG662.26,22079,17:32:17.88,263.0745,-29:59:47.9,-29.99663889,2460131.588,2023-07-06.09,32.561,0.33,3.152,1.086,0.799,18.635,18.878
2023-BLG-0690,BLG971.11,61598,17:20:54.73,260.22804167,-25:31:05.0,-25.51805556,2460094.991,2023-05-30.49,29.928,0.076,13.270,2.574,0.791,19.625,19.88
2023-BLG-0691,BLG501.11,21894,17:52:54.40,268.22666667,-30:00:52.0,-30.01444444,2460111.984,2023-06-16.48,19.097,0.136,7.430,1.857,0.705,19.357,19.738
2023-BLG-0692,BLG501.26,39709,17:54:20.27,268.58445833,-29:16:17.9,-29.27163889,2460113.725,2023-06-18.23,71.279,0.115,8.717,0.392,0.056,18.376,21.498
2023-BLG-0693,BLG504.07,148893,17:55:15.15,268.813125,-28:36:43.0,-28.61194444,2460107.014,2023-06-11.51,8.867,0.025,39.986,3.309,0.515,19.087,19.808
2023-BLG-0694,BLG518.18,3691,18:10:50.96,272.71233333,-26:42:46.5,-26.71291667,2460122.344,2023-06-26.84,15.439,0.605,1.872,0.681,1.0,16.14,16.14
2023-BLG-0695,BLG612.26,52786,17:32:04.07,263.01695833,-27:31:49.5,-27.53041667,2460095.952,2023-05-31.45,25.803,0.42,2.533,1.009,1.0,20.341,20.341
2023-BLG-0696,BLG613.24,60841,17:28:00.87,262.003625,-28:59:23.0,-28.98972222,2460283.826,2023-12-05.33,142.02,0.795,1.538,0.468,1.0,17.164,17.164
2023-BLG-0697,BLG614.32,47323,17:22:06.46,260.52691667,-28:13:40.0,-28.22777778,2460099.182,2023-06-03.68,46.799,0.067,15.034,1.105,0.126,19.76,22.009
2023-BLG-0698,BLG616.06,99228,17:14:23.87,258.59945833,-28:53:11.0,-28.88638889,2460121.573,2023-06-26.07,48.707,0.383,2.749,1.098,1.0,20.182,20.182
